the_geom,PHYSICALID,OBJECTID,STNAME_LAB,BOROUGHCOD,SEGMENTLEN,B5SC,BPHYS_ID,PlntSeas
"LINESTRING (-73.91049010640486 40.83073737251372, -73.90971373743427 40.83047001364655)",61058,59270,E 167 ST,2,235.90087047,226670,261058,Fall08
"LINESTRING (-73.91767974792707 40.834538755261455, -73.91749641405981 40.83447424700812)",61084,59296,E 167 ST,2,55.91186602,226670,261084,Spring07
"LINESTRING (-73.91749641405981 40.83447424700812, -73.91662284901415 40.83415933810207)",61085,59297,E 167 ST,2,267.58072041,226670,261085,Spring07
"LINESTRING (-73.9166228478285 40.834159338101216, -73.91643685011536 40.83406516484233, -73.91640856670399 40.834023406423725)",61086,59298,E 167 ST,2,78.96714408,226670,261086,Spring07
"LINESTRING (-73.91666592887894 40.834106501203756, -73.91648286093768 40.83401983125468, -73.91640856670399 40.834023406423725)",61088,59300,E 167 ST,2,80.2947925,226670,261088,Spring07
"LINESTRING (-73.91754916849868 40.834421003376455, -73.91666592887894 40.834106501203756)",61089,59301,E 167 ST,2,269.93892627,226670,261089,Spring07
"LINESTRING (-73.91773114978758 40.83448623007683, -73.91754916849868 40.834421003376455)",61090,59302,E 167 ST,2,55.68384217,226670,261090,Spring07
"LINESTRING (-73.90772165074665 40.82982336710826, -73.90752758886512 40.82976078122548, -73.90747341096134 40.829743308683845, -73.90720277664096 40.829656028643505)",61097,59309,E 167 ST,2,156.00075499,226670,261097,Fall08
"LINESTRING (-73.90657083639289 40.82945221988243, -73.90553116766374 40.82910413288273)",61098,59310,E 167 ST,2,314.43121536,226670,261098,Fall07
"LINESTRING (-73.90553116766374 40.82910413288273, -73.90502229697135 40.82894701069407)",61099,59311,E 167 ST,2,152.01731682,226670,261099,Fall08
"LINESTRING (-73.90502229697135 40.82894701069407, -73.90385265782203 40.828194866120214)",61100,59312,E 167 ST,2,424.11305908,226670,261100,Fall08
"LINESTRING (-73.90868047054158 40.81158737248034, -73.90776406081503 40.811399428541215)",61113,59325,E 147 ST,2,262.75686691,226070,261113,Fall09
"LINESTRING (-73.90959636198613 40.811776757620244, -73.90868047054158 40.81158737248034)",61114,59326,E 147 ST,2,262.7552952,226070,261114,Fall09
"LINESTRING (-73.91023801569715 40.81192926302087, -73.90959636198613 40.811776757620244)",61115,59327,E 147 ST,2,186.10758705,226070,261115,Fall09
"LINESTRING (-73.90776406081503 40.811399428541215, -73.90685192753274 40.811209060224456)",61116,59328,E 147 ST,2,261.84797681,226070,261116,Fall09
"LINESTRING (-73.90685192753274 40.811209060224456, -73.90583758036169 40.81099768987797)",61117,59329,E 147 ST,2,291.1588812,226070,261117,Fall09
"LINESTRING (-73.91254119644364 40.82307473753627, -73.91146841077983 40.82275795275534)",61120,59332,E 160 ST,2,318.55794827,226460,261120,Fall08
"LINESTRING (-73.91416694745106 40.82357820187474, -73.91254119644364 40.82307473753627)",61121,59333,E 160 ST,2,485.90814165,226460,261121,Fall08
"LINESTRING (-73.91587735809394 40.82410373115675, -73.91416694745106 40.82357820187474)",61122,59334,E 160 ST,2,510.6389286,226460,261122,Spring10
"LINESTRING (-73.91677400577944 40.8243870871079, -73.91587735809394 40.82410373115675)",61123,59335,E 160 ST,2,268.77721627,226460,261123,Fall08
"LINESTRING (-73.91254119644364 40.82307473753627, -73.91225868556381 40.82360803180239, -73.91205402655675 40.82366051890236)",61124,59336,ELTON AV,2,269.22469136,231120,261124,Fall08
"LINESTRING (-73.91287633386099 40.82244134801736, -73.91254119644364 40.82307473753627)",61125,59337,ELTON AV,2,248.7107374,231120,261125,Fall08
"LINESTRING (-73.91321516426515 40.821807212830294, -73.91287633386099 40.82244134801736)",61126,59338,ELTON AV,2,249.34564712,231120,261126,Fall08
"LINESTRING (-73.91355330617127 40.82116886174612, -73.91321516426515 40.821807212830294)",61127,59339,ELTON AV,2,250.69865853,231120,261127,Fall08
"LINESTRING (-73.91396268027529 40.82039412853749, -73.91355330617127 40.82116886174612)",61128,59340,ELTON AV,2,304.1559739,231120,261128,Fall08
"LINESTRING (-73.9142630427846 40.819746498936816, -73.91396268027529 40.82039412853749)",61129,59341,ELTON AV,2,250.17206366,231120,261129,Fall08
"LINESTRING (-73.91456056900887 40.819096912309305, -73.9142630427846 40.819746498936816)",61130,59342,ELTON AV,2,250.58585996,231120,261130,Fall08
"LINESTRING (-73.91487748608913 40.818462125324984, -73.91456056900887 40.819096912309305)",61131,59343,ELTON AV,2,247.35199083,231120,261131,Fall08
"LINESTRING (-73.91495266598055 40.818076633039645, -73.91487748608913 40.818462125324984)",61132,59344,ELTON AV,2,141.98199916,231120,261132,Fall08
"LINESTRING (-73.91205402655675 40.82366051890236, -73.91131373605381 40.82398816476335, -73.91084475456621 40.824212944258946)",61133,59345,ELTON AV,2,390.59991995,231120,261133,Fall08
"LINESTRING (-73.91084475456621 40.824212944258946, -73.9101093923872 40.82452512466063)",61134,59346,ELTON AV,2,233.14678139,231120,261134,Fall08
"LINESTRING (-73.91485286543649 40.8171292554162, -73.91364495332294 40.81816807906466)",61142,59354,BERGEN AV,2,505.00601872,212820,261142,Fall08
"LINESTRING (-73.9167711775184 40.81569882862698, -73.91649332260403 40.81586172579089, -73.91622549322953 40.81603449091198, -73.91596859085415 40.81621658171656, -73.91572343407897 40.816407389238584)",61144,59356,BERGEN AV,2,388.79779638,212820,261144,Fall08
"LINESTRING (-73.9177365059944 40.815157404008936, -73.9167711775184 40.81569882862698)",61145,59357,BERGEN AV,2,332.12872696,212820,261145,Fall08
"LINESTRING (-73.91857837624035 40.81470170155857, -73.9177365059944 40.815157404008936)",61146,59358,BERGEN AV,2,286.12841434,212820,261146,Fall08
"LINESTRING (-73.91364495332294 40.81816807906466, -73.91261059080625 40.81903038101527)",61147,59359,BERGEN AV,2,425.05074134,212820,261147,Fall08
"LINESTRING (-73.91467506910547 40.85394291509026, -73.9145789769234 40.854067661104054, -73.91412197498072 40.855540121356825)",61148,59360,LORING PL S,2,603.82145885,247020,261148,Spring12
"LINESTRING (-73.91644738360131 40.85190503998294, -73.91467506910547 40.85394291509026)",61149,59361,LORING PL S,2,889.75602861,247020,261149,Spring12
"LINESTRING (-73.91412197498072 40.855540121356825, -73.91400836065024 40.855904743774055, -73.9138886486352 40.85628892107357)",61150,59362,LORING PL S,2,280.34817837,247020,261150,Spring12
"LINESTRING (-73.91226623279645 40.83819425575248, -73.91149087272308 40.83789988620029, -73.91139305817629 40.837862746763406)",61151,59363,E 170 ST,2,270.12066091,226760,261151,Spring08
"LINESTRING (-73.91273795293793 40.83832226762888, -73.91226623398217 40.83819425575337)",61152,59364,E 170 ST,2,138.6097275,226760,261152,Spring08
"LINESTRING (-73.91359554124251 40.83866030942056, -73.91273795293793 40.83832226762888)",61153,59365,E 170 ST,2,267.35647911,226760,261153,Spring07
"LINESTRING (-73.91377104960473 40.838721647334, -73.91359554124251 40.83866030942056)",61154,59366,E 170 ST,2,53.45896596,226760,261154,Spring08
"LINESTRING (-73.91508773658728 40.839225379785404, -73.91503548597663 40.83920546740975, -73.9139590858897 40.8387951780075)",61156,59368,E 170 ST,2,349.42605388,226760,261156,Fall09
"LINESTRING (-73.91594008773868 40.83955197385475, -73.91508773777412 40.8392253788858)",61171,59381,E 170 ST,2,264.16311117,226760,261171,Fall09
"LINESTRING (-73.91678253000505 40.83988141802218, -73.91594008773868 40.83955197385475)",61172,59382,E 170 ST,2,262.19107742,226760,261172,Fall09
"LINESTRING (-73.91768361962725 40.84022549488286, -73.91678253000505 40.83988141802218)",61173,59383,E 170 ST,2,279.0709941,226760,261173,Fall09
"LINESTRING (-73.91139305817629 40.837862746763406, -73.91059520676166 40.83750301313592)",61174,59384,E 170 ST,2,256.74515047,226760,261174,Spring08
"LINESTRING (-73.91059520676166 40.83750301313592, -73.90963449220529 40.83712531849042)",61175,59385,E 170 ST,2,299.34368244,226760,261175,Spring08
"LINESTRING (-73.90916255846591 40.836964596772106, -73.90798077149766 40.83717809373664)",61177,59387,E 170 ST,2,336.13707953,226760,261177,Spring07
"LINESTRING (-73.82078533086961 40.81621423628064, -73.81993410160837 40.816513838698235)",61181,59391,LAWTON AV,2,259.67415915,245420,261181,Spring14
"LINESTRING (-73.82163629201992 40.815918490300625, -73.82078533086961 40.81621423628064)",61182,59392,LAWTON AV,2,259.02029854,245420,261182,Spring14
"LINESTRING (-73.82257269094738 40.81558803825309, -73.82163629201992 40.815918490300625)",61183,59393,LAWTON AV,2,285.79175753,245420,261183,Spring15
"LINESTRING (-73.81993410042304 40.81651383869637, -73.81948148529638 40.81667157369597, -73.81907863599857 40.8168119603687)",61184,59394,LAWTON AV,2,260.51198207,245420,261184,Spring14
"LINESTRING (-73.81907863599857 40.8168119603687, -73.8186846003948 40.81694091415585, -73.81830692316625 40.81706451729866)",61185,59395,LAWTON AV,2,232.5816613,245420,261185,Spring14
"LINESTRING (-73.81830692435405 40.81706451640001, -73.81742690447648 40.81729930007428)",61186,59396,LAWTON AV,2,258.16675683,245420,261186,Spring15
"LINESTRING (-73.81742690447648 40.81729930007428, -73.81637122691153 40.81759526545076)",61187,59397,LAWTON AV,2,311.46501591,245420,261187,Spring15
"LINESTRING (-73.81637122691153 40.81759526545076, -73.8154496703574 40.81770269140845)",61188,59398,LAWTON AV,2,258.06430111,245420,261188,Spring15
"LINESTRING (-73.8154496703574 40.81770269140845, -73.81445186725038 40.81776909568944)",61189,59399,LAWTON AV,2,277.2407616,245420,261189,Spring15
"LINESTRING (-73.81445186725038 40.81776909568944, -73.81300485594068 40.817977385570565)",61190,59400,LAWTON AV,2,407.6449567,245420,261190,Spring15
"LINESTRING (-73.81300485594068 40.817977385570565, -73.81190660274294 40.81814429773681)",61191,59401,LAWTON AV,2,310.00838178,245420,261191,Spring15
"LINESTRING (-73.81190660274294 40.81814429773681, -73.81097555392039 40.818287026940276)",61192,59402,LAWTON AV,2,262.89815797,245420,261192,Spring15
"LINESTRING (-73.81097555392039 40.818287026940276, -73.81006021531736 40.81854382986023)",61193,59403,LAWTON AV,2,270.07932425,245420,261193,Spring15
"LINESTRING (-73.83734619177842 40.891321019409055, -73.8383919922525 40.894067008375444)",61195,59405,SETON AV,2,1041.41978211,264120,261195,Spring08
"LINESTRING (-73.84507189594149 40.81541887125102, -73.84495053387393 40.81570980319805, -73.84481314223545 40.815997157363576, -73.84466000712005 40.81628015784696, -73.84449149747937 40.81655808468542, -73.84430808899953 40.816830201847274, -73.84411030463932 40.817095842700326)",61220,59430,ZEREGA AV,2,668.12168808,279050,261220,Fall13
"LINESTRING (-73.84524482718808 40.81500589180621, -73.84507189594149 40.81541887125102)",61221,59431,ZEREGA AV,2,157.89398731,279050,261221,Fall13
"LINESTRING (-73.84408013191401 40.8291595829483, -73.84424698177897 40.829873496717546)",61242,59452,ZEREGA AV,2,264.17164546,279050,261242,Fall13
"LINESTRING (-73.84424698177897 40.829873496717546, -73.84441543357373 40.8305984614032)",61243,59453,ZEREGA AV,2,268.21352354,279050,261243,Fall13
"LINESTRING (-73.84441543357373 40.8305984614032, -73.84457641041715 40.83130217297595)",61244,59454,ZEREGA AV,2,260.22948804,279050,261244,Fall13
"LINESTRING (-73.84457641041715 40.83130217297595, -73.8447523086017 40.83203486427028)",61245,59455,ZEREGA AV,2,271.34829096,279050,261245,Fall12
"LINESTRING (-73.8447523086017 40.83203486427028, -73.84491788031502 40.83275398885421)",61246,59456,ZEREGA AV,2,265.97972318,279050,261246,Fall12
"LINESTRING (-73.84491788031502 40.83275398885421, -73.84508534839783 40.833474898637064)",61247,59457,ZEREGA AV,2,266.71107318,279050,261247,Fall12
"LINESTRING (-73.84508534839783 40.833474898637064, -73.84525052297408 40.834189447508344)",61248,59458,ZEREGA AV,2,264.31866649,279050,261248,Fall12
"LINESTRING (-73.84525052297408 40.834189447508344, -73.84542723281848 40.83493648337698)",61249,59459,ZEREGA AV,2,276.53056981,279050,261249,Fall12
"LINESTRING (-73.84667778628474 40.83679427143235, -73.84758930351273 40.83741004850903)",61253,59463,ZEREGA AV,2,337.56692594,279050,261253,Spring13
"LINESTRING (-73.84758930351273 40.83741004850903, -73.8481584776247 40.83779584186716)",61254,59464,ZEREGA AV,2,211.09616897,279050,261254,Spring13
"LINESTRING (-73.8481584776247 40.83779584186716, -73.84849056924006 40.83802601284342)",61255,59465,ZEREGA AV,2,124.40513102,279050,261255,Spring13
"LINESTRING (-73.84849056924006 40.83802601284342, -73.84916456018324 40.838488454766264)",61256,59466,ZEREGA AV,2,251.33284762,279050,261256,Spring13
"LINESTRING (-73.84916456018324 40.838488454766264, -73.84937305528831 40.83863294147783)",61257,59467,ZEREGA AV,2,78.09934347,279050,261257,Spring13
"LINESTRING (-73.84937305528831 40.83863294147783, -73.8498404060321 40.83895798020916)",61258,59468,ZEREGA AV,2,175.34894168,279050,261258,Spring13
"LINESTRING (-73.8498404060321 40.83895798020916, -73.85004170285634 40.83909374944199)",61259,59469,ZEREGA AV,2,74.49329874,279050,261259,Spring13
"LINESTRING (-73.85004170285634 40.83909374944199, -73.85047886524602 40.83940079043651)",61260,59470,ZEREGA AV,2,164.76148832,279050,261260,Spring13
"LINESTRING (-73.85047886524602 40.83940079043651, -73.85107437625297 40.839811186870314)",61261,59471,ZEREGA AV,2,222.50589639,279050,261261,Spring13
"LINESTRING (-73.85107437625297 40.839811186870314, -73.85172228545115 40.840266735322174)",61262,59472,ZEREGA AV,2,244.30880084,279050,261262,Spring13
"LINESTRING (-73.85172228545115 40.840266735322174, -73.8522360363267 40.840616787372376)",61263,59473,ZEREGA AV,2,190.97955838,279050,261263,Spring13
"LINESTRING (-73.8522360363267 40.840616787372376, -73.85290065703026 40.841071494159344)",61264,59474,ZEREGA AV,2,247.51525724,279050,261264,Spring13
"LINESTRING (-73.85290065703026 40.841071494159344, -73.85309460255912 40.84104696063403)",61265,59475,ZEREGA AV,2,54.40265244,279050,261265,Spring13
"LINESTRING (-73.83788413457539 40.82106592672398, -73.8378736031231 40.82178333834137)",61269,59479,BRUSH AV,2,261.39530637,216040,261269,Fall07
"LINESTRING (-73.83474813447616 40.843502807184755, -73.83452362298291 40.84527987168764)",61295,59505,MAYFLOWER AV,2,650.42453109,249920,261295,Fall14
"LINESTRING (-73.83452362298291 40.84527987168764, -73.83424036921105 40.84737412178481)",61296,59506,MAYFLOWER AV,2,767.02839918,249920,261296,Fall14
"LINESTRING (-73.83424036921105 40.84737412178481, -73.83400089959237 40.84956039184899)",61297,59507,MAYFLOWER AV,2,799.29150361,249920,261297,Fall14
"LINESTRING (-73.83474813447616 40.843502807184755, -73.8338320447132 40.84351641231243)",61303,59513,MIDDLETOWN RD,2,253.51589584,250920,261303,Fall14
"LINESTRING (-73.83582911393073 40.843471294527745, -73.83474813447616 40.843502807184755)",61304,59514,MIDDLETOWN RD,2,299.31001068,250920,261304,Fall14
"LINESTRING (-73.83676643789478 40.843385969318476, -73.83582911393073 40.843471294527745)",61305,59515,MIDDLETOWN RD,2,261.19927697,250920,261305,Fall14
"LINESTRING (-73.83688925170732 40.843374788719984, -73.83676643789478 40.843385969318476)",61306,59516,MIDDLETOWN RD,2,34.22396089,250920,261306,Fall14
"LINESTRING (-73.8338320447132 40.84351641231243, -73.8329407644575 40.84351915912313)",61307,59517,MIDDLETOWN RD,2,246.60478015,250920,261307,Fall14
"LINESTRING (-73.8329407644575 40.84351915912313, -73.83200795714606 40.84363039316685)",61308,59518,MIDDLETOWN RD,2,261.25502986,250920,261308,Fall14
"LINESTRING (-73.83200795714606 40.84363039316685, -73.83108377167576 40.843744567907144)",61309,59519,MIDDLETOWN RD,2,259.06814815,250920,261309,Fall14
"LINESTRING (-73.83108377167576 40.843744567907144, -73.83043186324214 40.843857983194596)",61310,59520,MIDDLETOWN RD,2,185.04445392,250920,261310,Fall14
"LINESTRING (-73.83043186324214 40.843857983194596, -73.82965549997564 40.84408912179878)",61311,59521,MIDDLETOWN RD,2,230.72333175,250920,261311,Fall14
"LINESTRING (-73.82965549997564 40.84408912179878, -73.82931548391421 40.84419272621682)",61312,59522,MIDDLETOWN RD,2,101.36627117,250920,261312,Fall14
"LINESTRING (-73.82931548391421 40.84419272621682, -73.82870971044069 40.84437387127576)",61313,59523,MIDDLETOWN RD,2,180.13173987,250920,261313,Fall14
"LINESTRING (-73.82870971044069 40.84437387127576, -73.8284527431397 40.844450716690766)",61314,59524,MIDDLETOWN RD,2,76.41207053,250920,261314,Fall14
"LINESTRING (-73.8284527431397 40.844450716690766, -73.82757536102442 40.84473187465688)",61315,59525,MIDDLETOWN RD,2,263.48160901,250920,261315,Fall14
"LINESTRING (-73.82757536102442 40.84473187465688, -73.82674715162398 40.845078917835636)",61316,59526,MIDDLETOWN RD,2,261.71685245,250920,261316,Fall14
"LINESTRING (-73.82674715162398 40.845078917835636, -73.82611300654919 40.84533869361892)",61317,59527,MIDDLETOWN RD,2,199.35322037,250920,261317,Fall14
"LINESTRING (-73.84543591247446 40.84069786180603, -73.84483424124477 40.84121164965836)",61318,59528,FRISBY AV,2,250.51209171,233820,261318,Spring13
"LINESTRING (-73.84647864687287 40.839809205559945, -73.84543591247446 40.84069786180603)",61319,59529,FRISBY AV,2,433.67318494,233820,261319,Spring13
"LINESTRING (-73.84743717786436 40.838978924581646, -73.84647864687287 40.839809205559945)",61320,59530,FRISBY AV,2,402.30924902,233820,261320,Spring13
"LINESTRING (-73.84849056924006 40.83802601284342, -73.84743717786436 40.838978924581646)",61321,59531,FRISBY AV,2,453.31482556,233820,261321,Spring13
"LINESTRING (-73.84483424124477 40.84121164965836, -73.84401157384939 40.84190268796106)",61322,59532,FRISBY AV,2,339.41416209,233820,261322,Spring13
"LINESTRING (-73.84401157384939 40.84190268796106, -73.8439417437066 40.84196914904248, -73.84390170388502 40.84199779361804)",61323,59533,FRISBY AV,2,46.19806856,233820,261323,Spring13
"LINESTRING (-73.84200531283375 40.834626929670314, -73.8421823663949 40.83537414206811)",61328,59538,SEABURY AV,2,276.610732,263515,261328,Fall13
"LINESTRING (-73.84183791307993 40.83391004082314, -73.84200531283375 40.834626929670314)",61329,59539,SEABURY AV,2,265.26526356,263515,261329,Fall13
"LINESTRING (-73.8417167584346 40.83340094957743, -73.84183791307993 40.83391004082314)",61330,59540,SEABURY AV,2,188.48613338,263515,261330,Fall13
"LINESTRING (-73.8423518621694 40.836104738630716, -73.84277093590374 40.83605053356145, -73.84414409823556 40.83670748959191)",61333,59543,HERSCHELL ST,2,566.7093395,239620,261333,Fall13
"LINESTRING (-73.8411796311799 40.88640797019777, -73.84134619768125 40.88684428092519, -73.84137944449729 40.886931370412505, -73.84142107065865 40.88704040456716, -73.841458658247 40.88713886233872)",61350,59557,BAYCHESTER AV,2,277.24467606,211620,261350,Spring10
"LINESTRING (-73.84470283305681 40.83623119693803, -73.84414409823768 40.83670748869143)",61366,59573,HALSEY ST,2,232.41582492,237820,261366,Fall13
"LINESTRING (-73.84526155989909 40.83575489253406, -73.84470283305681 40.83623119693803)",61367,59574,HALSEY ST,2,232.41808515,237820,261367,Fall13
"LINESTRING (-73.84559222424251 40.83565135550523, -73.84526155989909 40.83575489253406)",61368,59575,HALSEY ST,2,98.97113475,237820,261368,Fall13
"LINESTRING (-73.83998632049124 40.89074070696171, -73.8391005044559 40.89093554846571)",61377,59584,STRANG AV,2,254.99730702,267020,261377,Spring08
"LINESTRING (-73.8391005044559 40.89093554846571, -73.8382310797207 40.891126578176234)",61378,59585,STRANG AV,2,250.2570579,267020,261378,Spring08
"LINESTRING (-73.8382310797207 40.891126578176234, -73.83734619177842 40.891321019409055)",61379,59586,STRANG AV,2,254.70874507,267020,261379,Spring08
"LINESTRING (-73.84169359458372 40.90020878704022, -73.84272801809405 40.90244072854308)",61384,59591,MONTICELLO AV,2,862.00270325,251920,261384,Spring11
"LINESTRING (-73.84453315414495 40.840032227612554, -73.84393500048557 40.84054226141316)",61403,59610,TRATMAN AV,2,248.84432912,269520,261403,Spring13
"LINESTRING (-73.84553089522265 40.8391733075428, -73.84453315414495 40.840032227612554)",61404,59611,TRATMAN AV,2,417.30899982,269520,261404,Spring13
"LINESTRING (-73.84648985673383 40.838347735503355, -73.84553089522265 40.8391733075428)",61405,59612,TRATMAN AV,2,401.10127372,269520,261405,Spring13
"LINESTRING (-73.84758930351273 40.83741004850903, -73.84648985673383 40.838347735503355)",61406,59613,TRATMAN AV,2,457.45678783,269520,261406,Spring13
"LINESTRING (-73.8365759882542 40.87137273123443, -73.835773086251 40.8716321210961)",61470,59675,ADEE AV,2,241.33061222,207720,261470,Spring13
"LINESTRING (-73.83740181338275 40.87110892867004, -73.8365759882542 40.87137273123443)",61471,59676,ADEE AV,2,247.79678791,207720,261471,Spring13
"LINESTRING (-73.83823484674028 40.870839287018356, -73.83740181338275 40.87110892867004)",61472,59677,ADEE AV,2,250.46289773,207720,261472,Spring13
"LINESTRING (-73.83906881277174 40.8705686933348, -73.8386821455326 40.87069414998754, -73.83823484674028 40.870839287018356)",61473,59678,ADEE AV,2,250.83706056,207720,261473,Spring13
"LINESTRING (-73.83990152335384 40.87029938138022, -73.83906881277174 40.8705686933348)",61474,59679,ADEE AV,2,250.33569924,207720,261474,Spring13
"LINESTRING (-73.84073395364815 40.87003035838684, -73.84037906249145 40.870145049697115, -73.83990152335384 40.87029938138022)",61475,59680,ADEE AV,2,250.22364654,207720,261475,Spring13
"LINESTRING (-73.84156545191338 40.869760842740995, -73.84124750843007 40.86986389998683, -73.84073395364815 40.87003035838684)",61476,59681,ADEE AV,2,250.05801633,207720,261476,Spring13
"LINESTRING (-73.84263512269376 40.86941414187029, -73.8415654530996 40.86976084274262)",61477,59682,ADEE AV,2,321.68285655,207720,261477,Spring13
"LINESTRING (-73.83577308624876 40.87163212199657, -73.8353559790693 40.871766501155946, -73.83490444296119 40.87191197942022)",61479,59684,ADEE AV,2,260.9799693,207720,261479,Spring13
"LINESTRING (-73.83906881277174 40.8705686933348, -73.83995915163464 40.8724136942446)",61485,59690,GUNTHER AV,2,715.88744746,237420,261485,Spring14
"LINESTRING (-73.96916404617848 40.646226747135046, -73.9690231563409 40.64548723090892)",61600,59801,STRATFORD RD,3,272.24806534,335280,361600,Fall11
"LINESTRING (-73.96918589517377 40.64632491845345, -73.96917571403172 40.64627771957923, -73.96916404617807 40.64622674803556)",61601,59802,STRATFORD RD,3,36.2771887,335280,361601,Fall11
"LINESTRING (-73.9690231563409 40.64548723090892, -73.9688705774417 40.64469673385506)",61604,59805,STRATFORD RD,3,291.09578346,335280,361604,Fall11
"LINESTRING (-73.9688705774417 40.64469673385506, -73.96872004072661 40.64389525796574)",61605,59806,STRATFORD RD,3,294.9725538,335280,361605,Fall11
"LINESTRING (-73.97355493995651 40.6556439394206, -73.97326628168078 40.65464926063167)",61629,59829,PROSPECT PARK SW,3,371.13428382,372530,361629,Fall12
"LINESTRING (-73.97256533731962 40.60179437313033, -73.97291116865935 40.59931580364917)",61641,59838,MC DONALD AV,3,908.09871909,359430,361641,Spring08
"LINESTRING (-73.9723973552138 40.605651889934435, -73.97217742832986 40.60419471145764)",61645,59842,MC DONALD AV,3,534.38860327,359430,361645,Spring08
"LINESTRING (-73.97310135354246 40.64545097564765, -73.97271968899825 40.64345607600486)",61682,59877,E 7 ST,3,734.47350334,335080,361682,Spring10
"LINESTRING (-73.97334778946085 40.646792841698186, -73.97310135354246 40.64545097564765)",61683,59878,E 7 ST,3,493.63835251,335080,361683,Spring10
"LINESTRING (-73.95834207516408 40.71330630054157, -73.9568095164718 40.71275638823599)",61723,59914,GRAND ST,3,469.7352149,345130,361723,Fall13
"LINESTRING (-73.9568095164718 40.71275638823599, -73.95547596171055 40.71226542602266)",61724,59915,GRAND ST,3,410.6986575,345130,361724,Fall13
"LINESTRING (-73.9764334213966 40.6332891221687, -73.97551015945396 40.633385672909945)",61738,59929,AV F,3,258.66201021,313930,361738,Spring10
"LINESTRING (-73.97761642286888 40.63315364219979, -73.9764334213966 40.6332891221687)",61739,59930,AV F,3,332.0413797,313930,361739,Spring10
"LINESTRING (-73.97551015945396 40.633385672909945, -73.9745825639008 40.63348830188864)",61741,59932,AV F,3,260.16195873,313930,361741,Spring10
"LINESTRING (-73.97798584061863 40.6942563035371, -73.97788477044183 40.69426409971016, -73.97780161543184 40.69427051336219, -73.97712183271027 40.69432294496753, -73.97698313586758 40.694333641519016)",61779,59969,AUBURN PL,3,279.47854336,313490,361779,Spring10
"LINESTRING (-73.97698313586758 40.694333641519016, -73.97683060050358 40.694346486443244, -73.97605153376176 40.6944120842078)",61780,59970,AUBURN PL,3,259.91314741,313490,361780,Spring10
"LINESTRING (-73.97456164853442 40.638373324477406, -73.97346561619209 40.638495115084666)",61790,59980,CORTELYOU RD,3,307.4083451,329630,361790,Fall09
"LINESTRING (-73.97548810403192 40.63827032625151, -73.97456164853442 40.638373324477406)",61791,59981,CORTELYOU RD,3,259.85009417,329630,361791,Fall09
"LINESTRING (-73.97641569254061 40.63816773503176, -73.97548810403192 40.63827032625151)",61792,59982,CORTELYOU RD,3,260.14000383,329630,361792,Fall09
"LINESTRING (-73.97734223728142 40.63806705422815, -73.97641569254061 40.63816773503176)",61793,59983,CORTELYOU RD,3,259.75443192,329630,361793,Spring10
"LINESTRING (-73.97863388194037 40.63791098043183, -73.97734223728142 40.63806705422815)",61794,59984,CORTELYOU RD,3,362.9631714,329630,361794,Spring10
"LINESTRING (-73.96981388377385 40.63889517941221, -73.96872218488181 40.639018536970234)",61801,59990,CORTELYOU RD,3,306.29950211,329630,361801,Fall10
"LINESTRING (-73.97801266972327 40.694630605890666, -73.97800800602462 40.694565537551476, -73.97800566122467 40.69453282057503, -73.97800134142283 40.6944725637401, -73.9779973808258 40.69441731832668, -73.97798584061863 40.6942563035371)",61821,60009,ST EDWARDS STREET,3,136.57245717,379980,361821,Spring10
"LINESTRING (-73.97817237998221 40.69538382600414, -73.97801266972327 40.694630605890666)",61822,60010,ST EDWARDS STREET,3,277.97090671,379980,361822,Spring10
"LINESTRING (-73.97833197590472 40.69613954832618, -73.97817237998221 40.69538382600414)",61823,60011,ST EDWARDS STREET,3,278.86604315,379980,361823,Spring10
"LINESTRING (-73.97954398799982 40.61270748398634, -73.97918101407387 40.61073872628848)",61829,60017,W 5 ST,3,724.31507181,390730,361829,Fall09
"LINESTRING (-74.14231813297152 40.62718055357077, -74.14311790407112 40.62731662007186)",61855,60043,DIXON AV,5,227.47062927,526000,561855,Spring08
"LINESTRING (-74.14311790407112 40.62731662007186, -74.14400317523011 40.62747265557069)",61856,60044,DIXON AV,5,252.22573198,526000,561856,Spring08
"LINESTRING (-74.14400317523011 40.62747265557069, -74.1448621142012 40.62762194551909)",61857,60045,DIXON AV,5,244.55135482,526000,561857,Spring08
"LINESTRING (-74.13944209894562 40.61776581299733, -74.14032235604424 40.61790590765503)",61858,60046,WATERS AV,5,249.65236969,554530,561858,Spring14
"LINESTRING (-74.13863162045011 40.61763897410522, -74.13944209894562 40.61776581299733)",61859,60047,WATERS AV,5,229.703707,554530,561859,Spring14
"LINESTRING (-74.14032235604424 40.61790590765503, -74.14120609064807 40.61804572114654)",61871,60059,WATERS AV,5,250.57618176,554530,561871,Spring14
"LINESTRING (-74.14120608946632 40.61804572114799, -74.1416731329184 40.61811709909403, -74.142150930979 40.61818769460025)",61872,60060,WATERS AV,5,267.36043805,554530,561872,Spring14
"LINESTRING (-74.142150930979 40.61818769460025, -74.142214108145 40.61775497065215, -74.14233611496024 40.61660864347256)",61877,60065,CRYSTAL AV,5,577.63384577,525320,561877,Spring14
"LINESTRING (-74.1420366565652 40.61897197418893, -74.142150930979 40.61818769460025)",61878,60066,CRYSTAL AV,5,287.48942773,525320,561878,Spring14
